Year,Total Number of Naturalized People in US,Total Number of Naturalized People in California
2006,702589,152836
2007,660477,181684
2008,1046539,297909
2009,743715,179754
2010,619913,129354
2011,694193,151183
2012,757434,158850
2013,779929,164792
2014,653416,140234
2015,730259,155979
